"﻿AppName","ApplicationType","BusinessCatalogName","BusinessGroupName","BusinessGroupDescription","BusinessRoleName","BusinessRoleDescription","BSPName"
"Create Selection Lists","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_IA_MCE_PER_ACT,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Periodic Activities,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Display Material Ledger Documents","GUI","SAP_SFIN_BC_IA_AC","SAP_SFIN_BCG_IA_AC","Actual Costing - Cost Calculations","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Change Actual Cost Components","GUI","SAP_SFIN_BC_IA_AC","SAP_SFIN_BCG_IA_AC","Actual Costing - Cost Calculations","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Display Actual Cost Components","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Material Transaction History","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Distribute Activity Differences","GUI","SAP_SFIN_BC_IA_AC_DIST","SAP_SFIN_BCG_IA_AC_DIST","Actual Costing - Distribution of Actual Differences","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Distribute Inventory Differences","GUI","SAP_SFIN_BC_IA_AC_DIST","SAP_SFIN_BCG_IA_AC_DIST","Actual Costing - Distribution of Actual Differences","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Enter Activity Differences","GUI","SAP_SFIN_BC_IA_AC_DIST","SAP_SFIN_BCG_IA_AC_DIST","Actual Costing - Distribution of Actual Differences","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Inventory and Activity Differences","GUI","SAP_SFIN_BC_IA_AC_DIST_REP","SAP_SFIN_BCG_IA_AC_DIST_REP","Actual Costing - Distribution of Actual Differences - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Release Planned Price Changes","GUI","SAP_SFIN_BC_IA_MAT_PV","SAP_SFIN_BCG_IA_MAT_PV","Material Prices and Values - Editing","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Period Value Comparison","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Edit Actual Costing Runs","GUI","SAP_SFIN_BC_IA_AC_PER_ACT","SAP_SFIN_BCG_IA_AC_PER_ACT","Actual Costing - Periodic Activities","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Edit Alternative Valuation Runs","GUI","SAP_SFIN_BC_IA_AC_PER_ACT","SAP_SFIN_BCG_IA_AC_PER_ACT","Actual Costing - Periodic Activities","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Actual Cost Estimates","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Delete Alternative Valuation Runs","GUI","SAP_SFIN_BC_IA_AC_PER_ACT","SAP_SFIN_BCG_IA_AC_PER_ACT","Actual Costing - Periodic Activities","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Delete Actual Costing Runs","GUI","SAP_SFIN_BC_IA_AC_PER_ACT","SAP_SFIN_BCG_IA_AC_PER_ACT","Actual Costing - Periodic Activities","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Reorganize Actual Costing Runs","GUI","SAP_SFIN_BC_IA_AC_PER_ACT","SAP_SFIN_BCG_IA_AC_PER_ACT","Actual Costing - Periodic Activities","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Period Status","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Change Price Determination","GUI","SAP_SFIN_BC_IA_AC_PROD_SU","SAP_SFIN_BCG_IA_AC_PROD_SU","Actual Costing - Production Startup","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Material Price Change Documents","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Enter Future Prices","GUI","SAP_SFIN_BC_IA_MAT_PV","SAP_SFIN_BCG_IA_MAT_PV","Material Prices and Values - Editing","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Value Flow for Reduced WIP","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Material Ledger Documents","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Material Ledger Startup","GUI","SAP_SFIN_BC_IA_AC_PROD_SU","SAP_SFIN_BCG_IA_AC_PROD_SU","Actual Costing - Production Startup","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Largest PUP Difference","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Highest Inventory Value","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Transfer Production Plan","GUI","SAP_SFIN_BC_IA_MCE_MIX_CST","SAP_SFIN_BCG_IA_MCE_MIX_CST","Material Cost Estimates - Mixed Costing","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Material Value Flow","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Reorganize Cost Estimates","GUI","SAP_SFIN_BC_IA_MCE_PER_ACT","SAP_SFIN_BCG_IA_MCE_PER_ACT","Material Cost Estimates - Periodic Activities","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Create Unit Cost Estimate - Multi","GUI","SAP_SFIN_BC_IA_MCE","SAP_SFIN_BCG_IA_MCE","Material Cost Estimates - Cost Estimations","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Run Overhead Calculation - Production Orders - Actual","GUI","SAP_SFIN_BC_CO_PE_INV","SAP_SFIN,SAP_SFIN_BCG_CO_PER_END","Controlling - Production Cost Period End,Controlling - Period End Processing","SAP_BR_CONTROLLER_PROD, SAP_BR_CONTROLLER","Controller - Production Costs, Controller",""
"Settle Orders - Optimized","GUI","SAP_SFIN_BC_CO_PE_INV","SAP_SFIN,SAP_SFIN_BCG_CO_PER_END","Controlling - Production Cost Period End,Controlling - Period End Processing","SAP_BR_CONTROLLER_PROD, SAP_BR_CONTROLLER","Controller - Production Costs, Controller",""
"Presettle Co-Products or Rework - Collective","GUI","SAP_SFIN_BC_CO_PE_INV","SAP_SFIN_BCG_CO_PER_END,SAP_SFIN","Controlling - Period End Processing,Controlling - Production Cost Period End","SAP_BR_CONTROLLER_PROD, SAP_BR_CONTROLLER","Controller - Production Costs, Controller",""
"Set Status to Closed - Orders - Collective","GUI","SAP_SFIN_BC_CO_PE_OPA","SAP_SFIN_BCG_CO_PER_END","Controlling - Period End Processing","SAP_BR_CONTROLLER","Controller",""
"WIP at Actual Costs","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Cash concentration for core BAM","GUI","SAP_SFIN_BC_CM_BAM","","","SAP_BR_CASH_SPECIALIST, SAP_BR_CASH_MANAGER","Cash Management Specialist, Cash Manager",""
"Pool creation for core BAM","GUI","SAP_SFIN_BC_CM_BAM","","","SAP_BR_CASH_MANAGER, SAP_BR_CASH_SPECIALIST","Cash Manager, Cash Management Specialist",""
"Pool edit for core BAM","GUI","SAP_SFIN_BC_CM_BAM","","","SAP_BR_CASH_SPECIALIST, SAP_BR_CASH_MANAGER","Cash Management Specialist, Cash Manager",""
"Pool edit for core BAM","GUI","SAP_SFIN_BC_CM_BAM","","","SAP_BR_CASH_MANAGER, SAP_BR_CASH_SPECIALIST","Cash Manager, Cash Management Specialist",""
"Post with Clearing","GUI","SAP_SFIN_BC_GL_DOC_PROC","SAP_SFIN_BCG_GL_DOC_PROC","Operational Processing","SAP_BR_GL_ACCOUNTANT","General Ledger Accountant",""
"Post Customer Outgoing Payments - With Print","GUI","SAP_SFIN_BC_AR_OUT_PAYM","","","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant",""
"Reverse Bills of Exchange","GUI","SAP_SFIN_BC_AR_REVERSAL","","","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant",""
"Post Customer Down Payments","GUI","SAP_SFIN_BC_AR_INC_PAYM","SAP_SFIN_BCG_APAR_PAYMENTS","Payments","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant",""
"Post Customer Down Payment Requests","GUI","SAP_SFIN_BC_AR_INVOICES","SAP_SFIN_BCG_APAR_PAYMENTS","Payments","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant",""
"Reverse Check/BOE - For Supplier","GUI","SAP_SFIN_BC_AP_REVERSAL","","","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant",""
"Create Supplier Down Payment Requests","GUI","SAP_SFIN_BC_AP_OPERATIONS","SAP_SFIN_BCG_APAR_PAYMENTS","Payments","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant",""
"Post Supplier Down Payments","GUI","SAP_SFIN_BC_AP_OPERATIONS","SAP_SFIN_BCG_APAR_PAYMENTS","Payments","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant",""
"Post Supplier Outgoing Payments - With Print","GUI","SAP_SFIN_BC_AP_OPERATIONS","","","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant",""
"Acquisition without order (integrated AP)","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Asset Sale with Invoice","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Clear Open Items Automatically","GUI","SAP_SFIN_BC_GL_DOC_PROC","SAP_SFIN_BCG_GL_DOC_PROC","Operational Processing","SAP_BR_CASH_SPECIALIST, SAP_BR_GL_ACCOUNTANT, SAP_BR_CASH_MANAGER","Cash Management Specialist, General Ledger Accountant, Cash Manager",""
"Clear Open Items Automatically","GUI","SAP_SFIN_BC_CM_CASH_OPS","SAP_SFIN_BCG_GL_DOC_PROC","Operational Processing","SAP_BR_CASH_SPECIALIST, SAP_BR_GL_ACCOUNTANT, SAP_BR_CASH_MANAGER","Cash Management Specialist, General Ledger Accountant, Cash Manager",""
"Create Balance Confirmations - For Customers","GUI","SAP_SFIN_BC_AR_OPERATIONS","SAP_SFIN_BCG_APAR_CORR","Correspondence","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant",""
"Create Balance Confirmations - For Suppliers","GUI","SAP_SFIN_BC_AP_OPERATIONS","SAP_SFIN_BCG_APAR_CORR","Correspondence","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant",""
"Repost GR/IR clearing","GUI","SAP_SFIN_BC_GL_PERIOD_ACT","SAP_SFIN_BCG_GL_PERIOD_ACT","Periodic Activities","SAP_BR_GL_ACCOUNTANT","General Ledger Accountant",""
"Balance Confirmations - Group Master Records","GUI","SAP_SFIN_BC_APAR_OPER","","","SAP_BR_AR_ACCOUNTANT, SAP_BR_AP_ACCOUNTANT","Accounts Receivable Accountant, Accounts Payable Accountant",""
"Balance Confirmations - Create Index","GUI","SAP_SFIN_BC_APAR_OPER","","","SAP_BR_AR_ACCOUNTANT, SAP_BR_AP_ACCOUNTANT","Accounts Receivable Accountant, Accounts Payable Accountant",""
"Create Balance Interest Calculation - For Customers","GUI","SAP_SFIN_BC_AR_OPERATIONS","SAP_SFIN_BCG_AR_CUST_ACC","Customer Accounts","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant",""
"Create Periodic Account Statements","GUI","SAP_SFIN_BC_APAR_OPER","SAP_SFIN_BCG_APAR_CORR","Correspondence","SAP_BR_AR_ACCOUNTANT, SAP_BR_AP_ACCOUNTANT","Accounts Receivable Accountant, Accounts Payable Accountant",""
"Create Balance Interest Calculation - For Suppliers","GUI","SAP_SFIN_BC_AP_OPERATIONS","SAP_SFIN_BCG_AP_CUST_ACC","Supplier Accounts","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant",""
"Run balance interest calculation","GUI","SAP_SFIN_BC_GL_PERIOD_ACT","SAP_SFIN_BCG_GL_PERIOD_ACT","Periodic Activities","SAP_BR_GL_ACCOUNTANT","General Ledger Accountant",""
"Delete Recurring Entry","GUI","SAP_SFIN_BC_GL_PARKED_DOC","SAP_SFIN_BCG_GL_PARKED_DOC","Parked Documents","SAP_BR_GL_ACCOUNTANT","General Ledger Accountant",""
"Trigger Correspondence, Print Correspondence Requests","GUI","SAP_SFIN_BC_GL_CORR","SAP_SFIN_BCG_APAR_CORR,SAP_SFIN_BCG_GL_CORR","Correspondence,Correspondence","SAP_BR_GL_ACCOUNTANT, SAP_BR_AR_ACCOUNTANT, SAP_BR_AP_ACCOUNTANT","General Ledger Accountant, Accounts Receivable Accountant, Accounts Payable Accountant",""
"Trigger Correspondence, Print Correspondence Requests","GUI","SAP_SFIN_BC_APAR_OPER","SAP_SFIN_BCG_APAR_CORR,SAP_SFIN_BCG_GL_CORR","Correspondence,Correspondence","SAP_BR_GL_ACCOUNTANT, SAP_BR_AR_ACCOUNTANT, SAP_BR_AP_ACCOUNTANT","General Ledger Accountant, Accounts Receivable Accountant, Accounts Payable Accountant",""
"Display internal Journal Entries (for printing), Create Correspondence Requests - For Internal Documents","GUI","SAP_SFIN_BC_GL_CORR","SAP_SFIN_BCG_GL_CORR,SAP_SFIN_BCG_APAR_CORR","Correspondence,Correspondence","SAP_BR_AP_ACCOUNTANT, SAP_BR_AR_ACCOUNTANT, SAP_BR_GL_ACCOUNTANT","Accounts Payable Accountant, Accounts Receivable Accountant, General Ledger Accountant",""
"Display internal Journal Entries (for printing), Create Correspondence Requests - For Internal Documents","GUI","SAP_SFIN_BC_APAR_OPER","SAP_SFIN_BCG_GL_CORR,SAP_SFIN_BCG_APAR_CORR","Correspondence,Correspondence","SAP_BR_AP_ACCOUNTANT, SAP_BR_AR_ACCOUNTANT, SAP_BR_GL_ACCOUNTANT","Accounts Payable Accountant, Accounts Receivable Accountant, General Ledger Accountant",""
"Delete Correspondence Requests","GUI","SAP_SFIN_BC_GL_CORR","SAP_SFIN_BCG_APAR_CORR,SAP_SFIN_BCG_GL_CORR","Correspondence,Correspondence","SAP_BR_AP_ACCOUNTANT, SAP_BR_AR_ACCOUNTANT, SAP_BR_GL_ACCOUNTANT","Accounts Payable Accountant, Accounts Receivable Accountant, General Ledger Accountant",""
"Delete Correspondence Requests","GUI","SAP_SFIN_BC_APAR_OPER","SAP_SFIN_BCG_APAR_CORR,SAP_SFIN_BCG_GL_CORR","Correspondence,Correspondence","SAP_BR_AP_ACCOUNTANT, SAP_BR_AR_ACCOUNTANT, SAP_BR_GL_ACCOUNTANT","Accounts Payable Accountant, Accounts Receivable Accountant, General Ledger Accountant",""
"Manage Correspondence Requests, Maintain Correspondence Request","GUI","SAP_SFIN_BC_GL_CORR","SAP_SFIN_BCG_GL_CORR","Correspondence","SAP_BR_AP_ACCOUNTANT, SAP_BR_AR_ACCOUNTANT, SAP_BR_GL_ACCOUNTANT","Accounts Payable Accountant, Accounts Receivable Accountant, General Ledger Accountant",""
"Manage Correspondence Requests, Maintain Correspondence Request","GUI","SAP_SFIN_BC_APAR_OPER","SAP_SFIN_BCG_GL_CORR","Correspondence","SAP_BR_AP_ACCOUNTANT, SAP_BR_AR_ACCOUNTANT, SAP_BR_GL_ACCOUNTANT","Accounts Payable Accountant, Accounts Receivable Accountant, General Ledger Accountant",""
"Create Standard Letters - For Customers","GUI","SAP_SFIN_BC_AR_OPERATIONS","SAP_SFIN_BCG_APAR_CORR","Correspondence","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant",""
"Create Standard Letters - For Suppliers","GUI","SAP_SFIN_BC_AP_OPERATIONS","SAP_SFIN_BCG_APAR_CORR","Correspondence","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant",""
"Reverse Accrual/Deferral Journal Entry","GUI","SAP_SFIN_BC_GL_DOC_PROC","SAP_SFIN_BCG_GL_DOC_PROC","Operational Processing","SAP_BR_GL_ACCOUNTANT","General Ledger Accountant",""
"Process Receivables","Transactional","SAP_SFIN_BC_AR_OPERATIONS","SAP_SFIN_BCG_AR_DAILY, SAP_SFIN_BCG_AR_CUST_ACC","Daily Business, Customer Accounts","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant","FIN_PROCRECEIVE"
"My Spend (Version 2)","Transactional","SAP_SFIN_BC_CO_COST_MGR","SAP_SFIN_BCG_CO_COST_MGR","Controlling - Cost Management","SAP_BR_CONTROLLER","Controller","FIN_MYSPEND"
"My Unusual Items","Transactional","SAP_SFIN_BC_CO_COST_MGR","SAP_SFIN_BCG_CO_COST_MGR","Controlling - Cost Management","SAP_BR_CONTROLLER","Controller","FIN_MYUNUSITEMS"
"Process Collections Worklist","Transactional","SAP_SFIN_BC_AR_OPERATIONS","SAP_SFIN_BCG_APAR_CORR, SAP_SFIN_BCG_AR_CUST_ACC, SAP_SFIN_BCG_AR_DAILY","Correspondence, Customer Accounts, Daily Business","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant","FSCM_COLLWORKL"
"My Inbox - Approve Purchase Contracts","Transactional","SAP_FND_BC_MANAGER_T","","","SAP_FND_BCR_MANAGER_T","Manager Approval (Cross) ÃƒÂ¢Ã‚Â€Ã‚Â“ Apps","CA_FIORI_INBOX"
"My Inbox - Approve Purchase Requisitions","Transactional","SAP_FND_BC_MANAGER_T","","","SAP_FND_BCR_MANAGER_T","Manager Approval (Cross) ÃƒÂ¢Ã‚Â€Ã‚Â“ Apps","CA_FIORI_INBOX"
"My Travel Requests","Transactional","SAP_FI_BC_TRV","SAP_FI_BCG_TRV","Travel - Employee","SAP_BR_EMPLOYEE_TRV","Employee - Travel Info","FIN_TR_CRE"
"My Inbox - Approve Travel Expenses","Transactional","SAP_FND_BC_MANAGER_T","","","SAP_BR_MANAGER","Manager - Inbox","CA_FIORI_INBOX"
"My Inbox - Approve Travel Requests","Transactional","SAP_FND_BC_MANAGER_T","","","SAP_BR_MANAGER","Manager - Inbox","CA_FIORI_INBOX"
"Liquidity Forecast","Analytical","SAP_SFIN_BC_CM_LM","SAP_SFIN_BCG_CM_LM","Liquidity Management","SAP_BR_CASH_MANAGER, SAP_BR_CASH_SPECIALIST","Cash Manager, Cash Management Specialist","SBRT_APPSS1"
"Actual Cash Flow","Analytical","SAP_SFIN_BC_CM_LM","SAP_SFIN_BCG_CM_LM","Liquidity Management","SAP_BR_CASH_MANAGER, SAP_BR_CASH_SPECIALIST","Cash Manager, Cash Management Specialist","SBRT_APPSS1"
"Bank Risk (S/4HANA)","Analytical","SAP_SFIN_BC_CM_CASH_OPS","SAP_SFIN_BCG_CM_DAILY, SAP_SFIN_BCG_CM_DAILY_SPECIALIST","Daily Business, Daily Business","SAP_BR_CASH_MANAGER, SAP_BR_CASH_SPECIALIST","Cash Manager, Cash Management Specialist","SBRT_APPSS1"
"Deficit Cash Pool (S/4HANA)","Analytical","SAP_SFIN_BC_CM_CASH_OPS","SAP_SFIN_BCG_CM_DAILY, SAP_SFIN_BCG_CM_DAILY_SPECIALIST","Daily Business, Daily Business","SAP_BR_CASH_MANAGER, SAP_BR_CASH_SPECIALIST","Cash Manager, Cash Management Specialist","SBRT_APPSS1"
"My Inbox - Approve Supplier Invoice","Transactional","SAP_FND_BC_MANAGER_T","","","SAP_FND_BCR_MANAGER_T","Manager Approval (Cross) ÃƒÂ¢Ã‚Â€Ã‚Â“ Apps","CA_FIORI_INBOX"
"My Travel and Expenses","Transactional","SAP_FI_BC_TRV","SAP_FI_BCG_TRV","Travel - Employee","SAP_BR_EMPLOYEE_TRV","Employee - Travel Info","TRV_TE_CRE"
"Manage Payment Blocks","Transactional","SAP_SFIN_BC_AP_DOCUMENT","","","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant","FIN_BLOCKPAYM"
"My Projects","Transactional","SAP_SFIN_BC_CO_COST_MGR","SAP_SFIN_BCG_CO_COST_MGR","Controlling - Cost Management","SAP_BR_CONTROLLER","Controller","FIN_MYPROJECTS"
"Manage Budget","Transactional","SAP_SFIN_BC_CO_COST_MGR","SAP_SFIN_BCG_CO_COST_MGR","Controlling - Cost Management","SAP_BR_CONTROLLER","Controller","FIN_MANAGEBGT"
"Approve Bank Payments","Transactional","SAP_SFIN_BC_BANK_APPROVE","SAP_SFIN_BCG_AP_PAYM_APV, SAP_SFIN_BCG_BANK_APPROVE, SAP_SFIN_BCG_CM_BAM, SAP_SFIN_BCG_CM_DAILY, SAP_SFIN_BCG_CM_LM","Payments Approval, Bank Communication - Approval, Bank Account Management, Daily Business, Liquidity Management","SAP_BR_AP_MANAGER, SAP_BR_CASH_MANAGER","Accounts Payable Manager, Cash Manager","FIN_BANKPMTAPV"
"Approve Bank Payments","Transactional"," SAP_SFIN_BC_CM_MANAGER","SAP_SFIN_BCG_AP_PAYM_APV, SAP_SFIN_BCG_BANK_APPROVE, SAP_SFIN_BCG_CM_BAM, SAP_SFIN_BCG_CM_DAILY, SAP_SFIN_BCG_CM_LM","Payments Approval, Bank Communication - Approval, Bank Account Management, Daily Business, Liquidity Management","SAP_BR_AP_MANAGER, SAP_BR_CASH_MANAGER","Accounts Payable Manager, Cash Manager","FIN_BANKPMTAPV"
"Make Bank Transfers","Transactional","SAP_SFIN_BC_CM_CASH_OPS","SAP_SFIN_BCG_CM_DAILY, SAP_SFIN_BCG_CM_DAILY_SPECIALIST","Daily Business, Daily Business","SAP_BR_CASH_MANAGER, SAP_BR_CASH_SPECIALIST","Cash Manager, Cash Management Specialist","FIN_CASHTRAN"
"Track Bank Transfers","Transactional","SAP_SFIN_BC_CM_CASH_OPS","SAP_SFIN_BCG_CM_DAILY, SAP_SFIN_BCG_CM_DAILY_SPECIALIST","Daily Business, Daily Business","SAP_BR_CASH_MANAGER, SAP_BR_CASH_SPECIALIST","Cash Manager, Cash Management Specialist","FIN_TRANSTRACK"
"Correction Request","Transactional","SAP_SFIN_BC_CO_COST_MGR","SAP_SFIN_BCG_CO_COST_MGR","Controlling - Cost Management","SAP_BR_CONTROLLER","Controller","FIN_CORR_REQ"
"Display Supplier Balances","Transactional","SAP_SFIN_BC_AP_OPERATIONS","SAP_SFIN_BCG_AP_SUPP_ACC","Supplier Accounts","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant","FIN_VENDOR_BAL"
"Manage Dispute Cases","Transactional","SAP_SFIN_BC_AR_DISPUTE_RES","SAP_SFIN_BCG_AR_DISPUTES","Disputes","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant","FSCM_DISPUTES"
"Display Customer Balances","Transactional","SAP_SFIN_BC_AR_OPERATIONS","","","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant","FIN_CUST_BAL"
"Display G/L Account Line Items","Transactional","SAP_SFIN_BC_GL_GEN_REP","SAP_SFIN_BCG_GL_GEN_REP","Operational Processing","SAP_BR_GL_ACCOUNTANT","General Ledger Accountant","FIN_GL_LITB"
"Display G/L Account Balances","Transactional","SAP_SFIN_BC_GL_DOC_PROC","SAP_SFIN_BCG_GL_DOC_PROC","G/L Accountant","SAP_BR_GL_ACCOUNTANT","General Ledger Accountant","FIN_GL_BALANCES"
"Display Financial Statement","Transactional","SAP_SFIN_BC_GL_PERIOD_ACT","SAP_SFIN_BCG_GL_PERIOD_ACT","","SAP_BR_GL_ACCOUNTANT","General Ledger Accountant","FIN_FINSTATEMNT"
"Manage Customer Line Items","Transactional","SAP_SFIN_BC_AR_OPERATIONS","SAP_SFIN_BCG_AR_CUST_ACC, SAP_SFIN_BCG_AR_DAILY","Customer Accounts, Daily Business","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant","FIN_CUST_LITS"
"Manage Customer Line Items","Transactional"," SAP_SFIN_BC_AR_DOCUMENT","SAP_SFIN_BCG_AR_CUST_ACC, SAP_SFIN_BCG_AR_DAILY","Customer Accounts, Daily Business","SAP_BR_AR_ACCOUNTANT","Accounts Receivable Accountant","FIN_CUST_LITS"
"Manage Supplier Line Items","Transactional","SAP_SFIN_BC_AP_OPERATIONS","","","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant","FIN_VEN_LITS"
